band_index,cluster_id,band_name
0,30,band_0
1,20,band_1
2,23,band_2
3,20,band_3
4,15,band_4
5,15,band_5
6,20,band_6
7,20,band_7
8,1,band_8
9,25,band_9
10,28,band_10
11,25,band_11
12,18,band_12
13,1,band_13
14,31,band_14
15,15,band_15
16,15,band_16
17,15,band_17
18,15,band_18
19,15,band_19
20,15,band_20
21,15,band_21
22,25,band_22
23,10,band_23
24,10,band_24
25,10,band_25
26,10,band_26
27,10,band_27
28,11,band_28
29,15,band_29
30,15,band_30
31,15,band_31
32,15,band_32
33,15,band_33
34,15,band_34
35,15,band_35
36,15,band_36
37,0,band_37
38,2,band_38
39,2,band_39
40,4,band_40
41,3,band_41
42,0,band_42
43,0,band_43
44,20,band_44
45,23,band_45
46,20,band_46
47,15,band_47
48,15,band_48
49,20,band_49
50,20,band_50
51,15,band_51
52,15,band_52
53,15,band_53
54,15,band_54
55,15,band_55
56,15,band_56
57,15,band_57
58,15,band_58
59,15,band_59
60,15,band_60
61,15,band_61
62,15,band_62
63,15,band_63
64,15,band_64
65,15,band_65
66,15,band_66
67,15,band_67
68,15,band_68
69,15,band_69
70,15,band_70
71,19,band_71
72,19,band_72
73,15,band_73
74,15,band_74
75,15,band_75
76,15,band_76
77,15,band_77
78,20,band_78
79,20,band_79
80,8,band_80
81,8,band_81
82,15,band_82
83,15,band_83
84,15,band_84
85,15,band_85
86,15,band_86
87,15,band_87
88,15,band_88
89,16,band_89
90,24,band_90
91,10,band_91
92,10,band_92
93,9,band_93
94,10,band_94
95,9,band_95
96,5,band_96
97,12,band_97
98,21,band_98
99,26,band_99
100,21,band_100
101,26,band_101
102,26,band_102
103,6,band_103
104,12,band_104
105,20,band_105
106,14,band_106
107,20,band_107
108,14,band_108
109,14,band_109
110,20,band_110
111,20,band_111
112,15,band_112
113,15,band_113
114,15,band_114
115,15,band_115
116,15,band_116
117,15,band_117
118,15,band_118
119,22,band_119
120,25,band_120
121,25,band_121
122,27,band_122
123,29,band_123
124,7,band_124
125,13,band_125
126,20,band_126
127,23,band_127
128,20,band_128
129,15,band_129
130,15,band_130
131,20,band_131
132,20,band_132
133,10,band_133
134,10,band_134
135,10,band_135
136,10,band_136
137,10,band_137
138,11,band_138
139,15,band_139
140,15,band_140
141,15,band_141
142,15,band_142
143,15,band_143
144,15,band_144
145,15,band_145
146,15,band_146
147,15,band_147
148,15,band_148
149,15,band_149
150,15,band_150
151,15,band_151
152,15,band_152
153,15,band_153
154,17,band_154
155,15,band_155
156,15,band_156
157,15,band_157
158,15,band_158
159,15,band_159
160,15,band_160
161,15,band_161
162,15,band_162
163,15,band_163
164,15,band_164
165,15,band_165
166,15,band_166
167,15,band_167
168,15,band_168
169,15,band_169
170,15,band_170
171,15,band_171
172,15,band_172
173,15,band_173
174,15,band_174
175,15,band_175
176,15,band_176
177,15,band_177
178,15,band_178
179,15,band_179
180,15,band_180
181,15,band_181
182,15,band_182
183,15,band_183
