band_index,cluster_id,band_name
0,34,band_0
1,10,band_1
2,29,band_2
3,27,band_3
4,29,band_4
5,29,band_5
6,10,band_6
7,27,band_7
8,2,band_8
9,29,band_9
10,32,band_10
11,30,band_11
12,29,band_12
13,2,band_13
14,35,band_14
15,29,band_15
16,29,band_16
17,29,band_17
18,29,band_18
19,29,band_19
20,29,band_20
21,29,band_21
22,29,band_22
23,26,band_23
24,26,band_24
25,26,band_25
26,26,band_26
27,24,band_27
28,20,band_28
29,29,band_29
30,29,band_30
31,29,band_31
32,29,band_32
33,29,band_33
34,29,band_34
35,29,band_35
36,29,band_36
37,0,band_37
38,4,band_38
39,5,band_39
40,1,band_40
41,6,band_41
42,0,band_42
43,0,band_43
44,10,band_44
45,29,band_45
46,27,band_46
47,29,band_47
48,29,band_48
49,10,band_49
50,27,band_50
51,29,band_51
52,29,band_52
53,29,band_53
54,29,band_54
55,29,band_55
56,29,band_56
57,29,band_57
58,29,band_58
59,29,band_59
60,29,band_60
61,29,band_61
62,29,band_62
63,29,band_63
64,29,band_64
65,29,band_65
66,29,band_66
67,29,band_67
68,29,band_68
69,29,band_69
70,29,band_70
71,11,band_71
72,11,band_72
73,29,band_73
74,29,band_74
75,29,band_75
76,29,band_76
77,29,band_77
78,11,band_78
79,10,band_79
80,14,band_80
81,14,band_81
82,29,band_82
83,29,band_83
84,29,band_84
85,29,band_85
86,29,band_86
87,29,band_87
88,29,band_88
89,25,band_89
90,16,band_90
91,25,band_91
92,25,band_92
93,3,band_93
94,25,band_94
95,3,band_95
96,13,band_96
97,12,band_97
98,13,band_98
99,15,band_99
100,17,band_100
101,15,band_101
102,15,band_102
103,13,band_103
104,12,band_104
105,7,band_105
106,26,band_106
107,9,band_107
108,26,band_108
109,24,band_109
110,8,band_110
111,29,band_111
112,29,band_112
113,29,band_113
114,29,band_114
115,29,band_115
116,29,band_116
117,29,band_117
118,29,band_118
119,23,band_119
120,21,band_120
121,21,band_121
122,22,band_122
123,33,band_123
124,18,band_124
125,19,band_125
126,10,band_126
127,29,band_127
128,27,band_128
129,29,band_129
130,29,band_130
131,10,band_131
132,27,band_132
133,26,band_133
134,26,band_134
135,26,band_135
136,26,band_136
137,24,band_137
138,20,band_138
139,29,band_139
140,29,band_140
141,29,band_141
142,29,band_142
143,29,band_143
144,29,band_144
145,29,band_145
146,29,band_146
147,29,band_147
148,29,band_148
149,29,band_149
150,29,band_150
151,29,band_151
152,29,band_152
153,29,band_153
154,31,band_154
155,29,band_155
156,29,band_156
157,29,band_157
158,29,band_158
159,29,band_159
160,29,band_160
161,29,band_161
162,28,band_162
163,29,band_163
164,29,band_164
165,29,band_165
166,29,band_166
167,28,band_167
168,29,band_168
169,28,band_169
170,29,band_170
171,29,band_171
172,29,band_172
173,29,band_173
174,28,band_174
175,29,band_175
176,29,band_176
177,29,band_177
178,29,band_178
179,29,band_179
180,29,band_180
181,29,band_181
182,29,band_182
183,29,band_183
