cluster_id,size,representative,mean_abs_r_to_others,band_name,members
14,134,177,0.9805945001150432,band_177,2 4 5 7 9 12 15 16 17 18 19 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 45 47 48 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 73 74 75 76 77 82 83 84 85 86 87 88 89 91 92 93 94 106 108 109 111 112 113 114 115 116 117 118 120 121 127 129 130 132 133 134 135 136 137 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183
11,13,44,0.9444163391987482,band_44,1 3 6 44 46 49 79 105 107 110 126 128 131
7,4,99,0.9261547327041626,band_99,90 99 101 102
0,3,42,0.9955343306064606,band_42,37 42 43
4,3,72,0.9287445545196533,band_72,71 72 78
12,2,28,0.996195375919342,band_28,28 138
13,2,80,0.9828641414642334,band_80,80 81
21,2,96,0.8742679953575134,band_96,96 103
1,1,40,1.0,band_40,40
2,1,38,1.0,band_38,38
3,1,39,1.0,band_39,39
5,1,119,1.0,band_119,119
6,1,124,1.0,band_124,124
8,1,100,1.0,band_100,100
9,1,122,1.0,band_122,122
10,1,123,1.0,band_123,123
15,1,154,1.0,band_154,154
16,1,11,1.0,band_11,11
17,1,95,1.0,band_95,95
18,1,10,1.0,band_10,10
19,1,8,1.0,band_8,8
20,1,13,1.0,band_13,13
22,1,98,1.0,band_98,98
23,1,0,1.0,band_0,0
24,1,125,1.0,band_125,125
25,1,97,1.0,band_97,97
26,1,104,1.0,band_104,104
27,1,41,1.0,band_41,41
28,1,14,1.0,band_14,14
