band_index,cluster_id,band_name
0,46,band_0
1,14,band_1
2,34,band_2
3,34,band_3
4,34,band_4
5,34,band_5
6,14,band_6
7,34,band_7
8,16,band_8
9,33,band_9
10,33,band_10
11,33,band_11
12,33,band_12
13,17,band_13
14,45,band_14
15,34,band_15
16,34,band_16
17,34,band_17
18,34,band_18
19,34,band_19
20,34,band_20
21,34,band_21
22,34,band_22
23,25,band_23
24,39,band_24
25,39,band_25
26,25,band_26
27,39,band_27
28,10,band_28
29,32,band_29
30,34,band_30
31,34,band_31
32,34,band_32
33,34,band_33
34,34,band_34
35,34,band_35
36,34,band_36
37,0,band_37
38,1,band_38
39,2,band_39
40,4,band_40
41,3,band_41
42,0,band_42
43,0,band_43
44,14,band_44
45,34,band_45
46,34,band_46
47,34,band_47
48,34,band_48
49,14,band_49
50,34,band_50
51,34,band_51
52,34,band_52
53,34,band_53
54,34,band_54
55,34,band_55
56,34,band_56
57,34,band_57
58,34,band_58
59,34,band_59
60,34,band_60
61,34,band_61
62,34,band_62
63,34,band_63
64,34,band_64
65,34,band_65
66,34,band_66
67,34,band_67
68,34,band_68
69,34,band_69
70,34,band_70
71,5,band_71
72,6,band_72
73,34,band_73
74,34,band_74
75,34,band_75
76,34,band_76
77,34,band_77
78,7,band_78
79,15,band_79
80,18,band_80
81,18,band_81
82,34,band_82
83,34,band_83
84,34,band_84
85,34,band_85
86,34,band_86
87,34,band_87
88,34,band_88
89,37,band_89
90,41,band_90
91,38,band_91
92,36,band_92
93,36,band_93
94,38,band_94
95,40,band_95
96,8,band_96
97,31,band_97
98,9,band_98
99,19,band_99
100,20,band_100
101,19,band_101
102,21,band_102
103,8,band_103
104,31,band_104
105,11,band_105
106,27,band_106
107,27,band_107
108,26,band_108
109,28,band_109
110,12,band_110
111,32,band_111
112,34,band_112
113,34,band_113
114,34,band_114
115,34,band_115
116,34,band_116
117,34,band_117
118,34,band_118
119,23,band_119
120,22,band_120
121,22,band_121
122,24,band_122
123,43,band_123
124,44,band_124
125,35,band_125
126,14,band_126
127,34,band_127
128,34,band_128
129,34,band_129
130,34,band_130
131,14,band_131
132,34,band_132
133,25,band_133
134,39,band_134
135,39,band_135
136,25,band_136
137,39,band_137
138,10,band_138
139,32,band_139
140,34,band_140
141,34,band_141
142,34,band_142
143,34,band_143
144,34,band_144
145,34,band_145
146,34,band_146
147,34,band_147
148,34,band_148
149,34,band_149
150,34,band_150
151,34,band_151
152,34,band_152
153,34,band_153
154,42,band_154
155,34,band_155
156,34,band_156
157,34,band_157
158,34,band_158
159,34,band_159
160,34,band_160
161,34,band_161
162,13,band_162
163,30,band_163
164,29,band_164
165,30,band_165
166,30,band_166
167,13,band_167
168,34,band_168
169,13,band_169
170,30,band_170
171,29,band_171
172,30,band_172
173,30,band_173
174,13,band_174
175,34,band_175
176,34,band_176
177,34,band_177
178,34,band_178
179,34,band_179
180,34,band_180
181,34,band_181
182,34,band_182
183,34,band_183
