band_index,cluster_id,band_name
0,26,band_0
1,9,band_1
2,21,band_2
3,21,band_3
4,21,band_4
5,21,band_5
6,9,band_6
7,21,band_7
8,2,band_8
9,21,band_9
10,24,band_10
11,22,band_11
12,21,band_12
13,2,band_13
14,27,band_14
15,21,band_15
16,21,band_16
17,21,band_17
18,21,band_18
19,21,band_19
20,21,band_20
21,21,band_21
22,21,band_22
23,20,band_23
24,20,band_24
25,20,band_25
26,20,band_26
27,19,band_27
28,16,band_28
29,21,band_29
30,21,band_30
31,21,band_31
32,21,band_32
33,21,band_33
34,21,band_34
35,21,band_35
36,21,band_36
37,0,band_37
38,4,band_38
39,5,band_39
40,1,band_40
41,6,band_41
42,0,band_42
43,0,band_43
44,9,band_44
45,21,band_45
46,21,band_46
47,21,band_47
48,21,band_48
49,9,band_49
50,21,band_50
51,21,band_51
52,21,band_52
53,21,band_53
54,21,band_54
55,21,band_55
56,21,band_56
57,21,band_57
58,21,band_58
59,21,band_59
60,21,band_60
61,21,band_61
62,21,band_62
63,21,band_63
64,21,band_64
65,21,band_65
66,21,band_66
67,21,band_67
68,21,band_68
69,21,band_69
70,21,band_70
71,10,band_71
72,10,band_72
73,21,band_73
74,21,band_74
75,21,band_75
76,21,band_76
77,21,band_77
78,10,band_78
79,9,band_79
80,13,band_80
81,13,band_81
82,21,band_82
83,21,band_83
84,21,band_84
85,21,band_85
86,21,band_86
87,21,band_87
88,21,band_88
89,20,band_89
90,14,band_90
91,20,band_91
92,20,band_92
93,3,band_93
94,20,band_94
95,3,band_95
96,12,band_96
97,11,band_97
98,12,band_98
99,14,band_99
100,14,band_100
101,14,band_101
102,14,band_102
103,12,band_103
104,11,band_104
105,7,band_105
106,20,band_106
107,8,band_107
108,20,band_108
109,19,band_109
110,7,band_110
111,21,band_111
112,21,band_112
113,21,band_113
114,21,band_114
115,21,band_115
116,21,band_116
117,21,band_117
118,21,band_118
119,18,band_119
120,17,band_120
121,17,band_121
122,17,band_122
123,25,band_123
124,15,band_124
125,15,band_125
126,9,band_126
127,21,band_127
128,21,band_128
129,21,band_129
130,21,band_130
131,9,band_131
132,21,band_132
133,20,band_133
134,20,band_134
135,20,band_135
136,20,band_136
137,19,band_137
138,16,band_138
139,21,band_139
140,21,band_140
141,21,band_141
142,21,band_142
143,21,band_143
144,21,band_144
145,21,band_145
146,21,band_146
147,21,band_147
148,21,band_148
149,21,band_149
150,21,band_150
151,21,band_151
152,21,band_152
153,21,band_153
154,23,band_154
155,21,band_155
156,21,band_156
157,21,band_157
158,21,band_158
159,21,band_159
160,21,band_160
161,21,band_161
162,21,band_162
163,21,band_163
164,21,band_164
165,21,band_165
166,21,band_166
167,21,band_167
168,21,band_168
169,21,band_169
170,21,band_170
171,21,band_171
172,21,band_172
173,21,band_173
174,21,band_174
175,21,band_175
176,21,band_176
177,21,band_177
178,21,band_178
179,21,band_179
180,21,band_180
181,21,band_181
182,21,band_182
183,21,band_183
